@relation storm_trainingSet7.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute LOC_REMOVED numeric
@attribute AVG_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute CHURN numeric
@attribute AVG_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES','NO'}

@data
42,126,42.0,42,0,0.0,0,126,42.0,42,3,0,2,NO
76,228,76.0,76,0,0.0,0,228,76.0,76,3,0,2,NO
90,270,90.0,90,0,0.0,0,270,90.0,90,3,0,2,NO
56,168,56.0,56,0,0.0,0,168,56.0,56,3,0,2,NO
89,267,89.0,89,0,0.0,0,267,89.0,89,3,0,2,NO
59,177,59.0,59,0,0.0,0,177,59.0,59,3,0,2,NO
75,225,75.0,75,0,0.0,0,225,75.0,75,3,0,2,NO
7,21,7.0,7,0,0.0,0,21,7.0,7,3,0,2,NO
16,48,16.0,16,0,0.0,0,48,16.0,16,3,0,2,NO
14,42,14.0,14,0,0.0,0,42,14.0,14,3,0,2,NO
45,135,45.0,45,0,0.0,0,135,45.0,45,3,0,2,NO
60,180,60.0,60,0,0.0,0,180,60.0,60,3,0,2,NO
8,24,8.0,8,0,0.0,0,24,8.0,8,3,0,2,NO
77,231,77.0,77,0,0.0,0,231,77.0,77,3,0,2,NO
184,552,184.0,184,0,0.0,0,552,184.0,184,3,0,2,NO
154,462,154.0,154,0,0.0,0,462,154.0,154,3,0,2,NO
181,543,181.0,181,0,0.0,0,543,181.0,181,3,0,2,NO
32,96,32.0,32,0,0.0,0,96,32.0,32,3,0,2,NO
21,63,21.0,21,0,0.0,0,63,21.0,21,3,0,2,NO
160,480,160.0,160,0,0.0,0,480,160.0,160,3,0,2,NO
77,231,77.0,77,0,0.0,0,231,77.0,77,3,0,2,NO
121,363,121.0,121,0,0.0,0,363,121.0,121,3,0,2,NO
8,24,8.0,8,0,0.0,0,24,8.0,8,3,0,2,NO
8,24,8.0,8,0,0.0,0,24,8.0,8,3,0,2,NO
19,57,19.0,19,0,0.0,0,57,19.0,19,3,0,2,NO
9,27,9.0,9,0,0.0,0,27,9.0,9,3,0,2,NO
27,81,27.0,27,0,0.0,0,81,27.0,27,3,0,2,NO
35,105,35.0,35,0,0.0,0,105,35.0,35,3,0,2,NO
33,99,33.0,33,0,0.0,0,99,33.0,33,3,0,2,NO
58,178,35.6,54,8,1.6,4,170,34.0,54,5,0,3,NO
11,33,11.0,11,0,0.0,0,33,11.0,11,3,0,2,NO
14,42,14.0,14,0,0.0,0,42,14.0,14,3,0,2,NO
24,72,24.0,24,0,0.0,0,72,24.0,24,3,0,2,NO
9,27,9.0,9,0,0.0,0,27,9.0,9,3,0,2,NO
22,66,22.0,22,0,0.0,0,66,22.0,22,3,0,2,NO
9,27,9.0,9,0,0.0,0,27,9.0,9,3,0,2,NO
13,39,13.0,13,0,0.0,0,39,13.0,13,3,0,2,NO
8,24,8.0,8,0,0.0,0,24,8.0,8,3,0,2,NO
16,48,16.0,16,0,0.0,0,48,16.0,16,3,0,2,NO
27,81,27.0,27,0,0.0,0,81,27.0,27,3,0,2,NO
6,18,6.0,6,0,0.0,0,18,6.0,6,3,0,2,NO
63,189,63.0,63,0,0.0,0,189,63.0,63,3,0,2,NO
62,186,62.0,62,0,0.0,0,186,62.0,62,3,0,2,NO
9,27,9.0,9,0,0.0,0,27,9.0,9,3,0,2,NO
66,198,66.0,66,0,0.0,0,198,66.0,66,3,0,2,NO
75,225,75.0,75,0,0.0,0,225,75.0,75,3,0,2,NO
9,27,9.0,9,0,0.0,0,27,9.0,9,3,0,2,NO
68,204,68.0,68,0,0.0,0,204,68.0,68,3,0,2,NO
50,150,50.0,50,0,0.0,0,150,50.0,50,3,0,2,NO
103,309,103.0,103,0,0.0,0,309,103.0,103,3,0,2,NO
9,27,9.0,9,0,0.0,0,27,9.0,9,3,0,2,NO
59,177,59.0,59,0,0.0,0,177,59.0,59,3,0,2,NO
92,276,92.0,92,0,0.0,0,276,92.0,92,3,0,2,NO
7,21,7.0,7,0,0.0,0,21,7.0,7,3,0,2,NO
10,30,10.0,10,0,0.0,0,30,10.0,10,3,0,2,NO
30,90,30.0,30,0,0.0,0,90,30.0,30,3,0,2,NO
168,504,168.0,168,0,0.0,0,504,168.0,168,3,0,2,NO
79,237,79.0,79,0,0.0,0,237,79.0,79,3,0,2,NO
80,242,48.4,68,14,2.8,7,228,45.6,68,5,0,3,NO
6,18,6.0,6,0,0.0,0,18,6.0,6,3,0,2,NO
137,414,69.0,137,3,0.5,1,411,68.5,137,6,0,2,NO
30,90,30.0,30,0,0.0,0,90,30.0,30,3,0,2,NO
134,405,67.5,134,3,0.5,1,402,67.0,134,6,0,2,NO
149,447,149.0,149,0,0.0,0,447,149.0,149,3,0,2,NO
19,57,19.0,19,0,0.0,0,57,19.0,19,3,0,2,NO
15,45,15.0,15,0,0.0,0,45,15.0,15,3,0,2,NO
13,39,13.0,13,0,0.0,0,39,13.0,13,3,0,2,NO
20,60,20.0,20,0,0.0,0,60,20.0,20,3,0,2,NO
16,48,16.0,16,0,0.0,0,48,16.0,16,3,0,2,NO
15,45,15.0,15,0,0.0,0,45,15.0,15,3,0,2,NO
268,804,268.0,268,0,0.0,0,804,268.0,268,3,0,2,NO
49,147,49.0,49,0,0.0,0,147,49.0,49,3,0,2,NO
408,1224,408.0,408,0,0.0,0,1224,408.0,408,3,0,2,NO
705,2115,705.0,705,0,0.0,0,2115,705.0,705,3,0,2,NO
130,393,65.5,119,3,0.5,1,390,65.0,119,6,0,2,NO
118,354,118.0,118,0,0.0,0,354,118.0,118,3,0,2,NO
75,225,75.0,75,0,0.0,0,225,75.0,75,3,0,2,NO
27,81,27.0,27,0,0.0,0,81,27.0,27,3,0,2,NO
55,165,55.0,55,0,0.0,0,165,55.0,55,3,0,2,NO
311,933,311.0,311,0,0.0,0,933,311.0,311,3,0,2,NO
44,132,44.0,44,0,0.0,0,132,44.0,44,3,0,2,NO
11,33,11.0,11,0,0.0,0,33,11.0,11,3,0,2,NO
33,99,33.0,33,0,0.0,0,99,33.0,33,3,0,2,NO
18,54,18.0,18,0,0.0,0,54,18.0,18,3,0,2,NO
115,345,115.0,115,0,0.0,0,345,115.0,115,3,0,2,NO
201,794,34.52173913043478,199,177,7.695652173913044,31,659,28.652173913043477,199,23,0,6,NO
50,168,18.666666666666668,53,18,2.0,11,172,19.11111111111111,53,9,0,2,NO
51,249,27.666666666666668,72,96,10.666666666666666,60,257,28.555555555555557,51,9,0,2,NO
