@relation bookkeeper_trainingSet3.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
51,53,26.5,52,2,1.0,2,53,26.5,52,2,0,2,NO
150,63,31.5,58,5,2.5,5,58,29.0,53,2,1,2,YES
31,33,16.5,33,2,1.0,2,35,17.5,33,2,0,2,NO
684,684,684.0,684,0,0.0,0,684,684.0,684,1,0,1,YES
180,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
196,202,101.0,195,6,3.0,6,196,98.0,195,2,1,1,YES
482,388,29.846153846153847,253,377,29.0,194,291,22.384615384615383,129,13,5,3,YES
40,40,40.0,40,0,0.0,0,40,40.0,40,1,1,1,YES
259,136,27.2,79,81,16.2,68,55,11.0,20,5,3,1,YES
379,401,100.25,228,22,5.5,17,379,94.75,211,4,1,3,YES
510,549,68.625,378,39,4.875,20,542,67.75,378,8,1,3,YES
32,32,32.0,32,0,0.0,0,32,32.0,32,1,0,1,NO
66,74,37.0,69,8,4.0,8,72,36.0,69,2,0,1,NO
187,213,42.6,183,26,5.2,22,191,38.2,183,5,2,2,YES
576,589,196.33333333333334,550,13,4.333333333333333,11,576,192.0,550,3,0,2,YES
158,161,53.666666666666664,157,3,1.0,2,158,52.666666666666664,157,3,1,1,YES
46,128,16.0,92,633,79.125,541,579,72.375,531,8,3,2,YES
27,80,40.0,79,53,26.5,53,131,65.5,79,2,0,1,NO
788,904,100.44444444444444,712,88,9.777777777777779,19,816,90.66666666666667,712,9,4,3,YES
60,60,60.0,60,0,0.0,0,60,60.0,60,1,0,1,NO
62,74,14.8,36,161,32.2,109,159,31.8,88,5,2,1,YES
88,118,59.0,113,30,15.0,30,138,69.0,113,2,0,1,NO
52,55,27.5,53,3,1.5,3,54,27.0,53,2,0,1,NO
163,9,4.5,6,3,1.5,2,6,3.0,4,2,1,2,YES
91,91,91.0,91,0,0.0,0,91,91.0,91,1,0,1,NO
147,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
58,58,58.0,58,0,0.0,0,58,58.0,58,1,0,1,NO
44,44,44.0,44,0,0.0,0,44,44.0,44,1,0,1,NO
139,12,12.0,12,10,10.0,10,2,2.0,2,1,1,1,YES
282,11,11.0,11,0,0.0,0,11,11.0,11,1,1,1,YES
582,214,26.75,106,252,31.5,67,188,23.5,68,8,3,3,YES
800,111,18.5,73,21,3.5,11,90,15.0,62,6,2,2,YES
216,25,5.0,9,14,2.8,3,11,2.2,7,5,2,1,YES
55,9,9.0,9,4,4.0,4,5,5.0,5,1,0,1,NO
184,8,2.6666666666666665,4,9,3.0,5,3,1.0,2,3,2,2,YES
65,13,13.0,13,9,9.0,9,4,4.0,4,1,1,1,YES
150,26,13.0,25,33,16.5,32,7,3.5,7,2,1,1,YES
81,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
84,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
905,221,24.555555555555557,95,78,8.666666666666666,30,143,15.88888888888889,65,9,6,3,YES
312,70,14.0,44,6,1.2,4,64,12.8,44,5,3,3,YES
171,5,5.0,5,3,3.0,3,2,2.0,2,1,1,1,YES
153,30,5.0,19,73,12.166666666666666,65,49,8.166666666666666,46,6,5,3,YES
84,26,26.0,26,9,9.0,9,17,17.0,17,1,0,1,NO
169,5,2.5,4,1,0.5,1,4,2.0,4,2,2,2,YES
189,17,5.666666666666667,15,1,0.3333333333333333,1,16,5.333333333333333,15,3,3,2,YES
127,59,11.8,37,35,7.0,23,24,4.8,14,5,4,2,YES
79,2,2.0,2,1,1.0,1,1,1.0,1,1,1,1,YES
90,25,25.0,25,22,22.0,22,3,3.0,3,1,1,1,YES
85,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
123,20,6.666666666666667,10,2,0.6666666666666666,1,20,6.666666666666667,10,3,1,3,YES
276,61,20.333333333333332,30,1,0.3333333333333333,1,60,20.0,30,3,2,2,YES
549,182,30.333333333333332,110,10,1.6666666666666667,9,182,30.333333333333332,110,6,4,2,YES
27,27,27.0,27,0,0.0,0,27,27.0,27,1,0,1,NO
88,89,44.5,84,1,0.5,1,88,44.0,84,2,0,1,YES
283,36,9.0,23,6,1.5,4,30,7.5,23,4,3,3,YES
175,12,6.0,7,30,15.0,28,24,12.0,21,2,2,2,YES
507,29,7.25,15,36,9.0,31,25,6.25,16,4,4,2,YES
209,5,5.0,5,0,0.0,0,5,5.0,5,1,0,1,NO
147,5,5.0,5,2,2.0,2,3,3.0,3,1,1,1,YES
98,1,1.0,1,1,1.0,1,0,0.0,0,1,0,1,NO
132,132,132.0,132,0,0.0,0,132,132.0,132,1,1,1,YES
236,236,236.0,236,0,0.0,0,236,236.0,236,1,0,1,YES
227,49,16.333333333333332,26,3,1.0,2,46,15.333333333333334,26,3,3,2,YES
172,20,6.666666666666667,10,2,0.6666666666666666,2,18,6.0,8,3,3,2,YES
507,153,17.0,61,39,4.333333333333333,22,114,12.666666666666666,59,9,6,2,YES
90,90,90.0,90,0,0.0,0,90,90.0,90,1,0,1,YES
58,58,58.0,58,0,0.0,0,58,58.0,58,1,0,1,NO
132,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
