Ticket_ID,Commit_Hash,Author,Date,Message,Changed_Files
BOOKKEEPER-217,7f9005baadbbf312db857be6c3d3c095fe800c54,Ivan Brendan Kelly,2012-04-24 17:42:06 +0000,BOOKKEEPER-217: NPE in hedwig client when enable DEBUG (sijie via ivank),CHANGES.txt;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java
BOOKKEEPER-56,f7c1ad57ead301df4d3326b5d8c8950964387fa9,Sijie Guo,2012-04-28 08:11:14 +0000,BOOKKEEPER-56: Race condition of message handler in connection recovery in Hedwig client (added AlreadyStartDeliveryException file missed in r1329883) (sijie & Gavin Li via ivank),hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/AlreadyStartDeliveryException.java
BOOKKEEPER-231,6d50e72732aa741d3a620c4b3ec04593c68f1b62,Sijie Guo,2012-04-28 09:11:28 +0000,BOOKKEEPER-231: ZKUtil.killServer not closing the FileTxnSnapLog from ZK. (Uma Maheswara Rao G via sijie),CHANGES.txt;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java
BOOKKEEPER-232,6fc326ebd647afbbcc0beab6764b5d3748e50088,Ivan Brendan Kelly,2012-05-07 16:48:07 +0000,BOOKKEEPER-232: AsyncBK tests failing (umamaheswararao via ivank),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java
BOOKKEEPER-229,a7d658179db3226dc33d53f4d25afd64ea90c061,Flavio Paiva Junqueira,2012-05-08 07:35:47 +0000,BOOKKEEPER-229: Deleted entry log files would be garbage collected again and again. (sijie via fpj),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java
BOOKKEEPER-215,3e224c4b6d4a0d9317060f7fe0d3519fccc68f5a,Ivan Brendan Kelly,2012-05-09 07:43:50 +0000,BOOKKEEPER-215: Deadlock occurs under high load (sijie via ivank),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestDeadlock.java
BOOKKEEPER-242,9efe73998fe1ee72ffae95f3e1b1e65884019710,Ivan Brendan Kelly,2012-05-09 08:17:34 +0000,BOOKKEEPER-242: Bookkeeper not able to connect other zookeeper when shutdown the zookeeper server where the BK has connected. (sijie & rakeshr via ivank),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java
BOOKKEEPER-234,47ee081e6796ec84c774167dca67c3fd3ceda170,Ivan Brendan Kelly,2012-05-09 08:39:33 +0000,"BOOKKEEPER-234: EntryLogger will throw NPE, if any dir does not exist or IO Errors. (umamaheswararao via ivank)",CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java
BOOKKEEPER-235,d368d86e287ef982fa70e069001e30124ee22b48,Flavio Paiva Junqueira,2012-05-09 11:00:38 +0000,BOOKKEEPER-235: Bad syncing in entrylogger degrades performance for many concurrent ledgers (ivank via fpj),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java
BOOKKEEPER-245,c32edf860040ebba19c6c57d226b12cd487a00d2,Ivan Brendan Kelly,2012-05-10 09:57:39 +0000,BOOKKEEPER-245: Intermittent failures in PersistanceManager tests (ivank),CHANGES.txt;hedwig-server/pom.xml;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java
BOOKKEEPER-209,ba0ab04216f94411bae27a52670c9c8b4da03476,Ivan Brendan Kelly,2012-05-15 10:28:38 +0000,BOOKKEEPER-209: Typo in ServerConfiguration for READAHEAD_ENABLED (ivank),CHANGES.txt;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java
