Project,Version,File,LOC_Added,LOC_Deleted,LOC_Touched,Churn,NR,NFix,NAuth,Buggy
bookkeeper,Pre-Release,bookkeeper/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,117,0,117,117,00,1,0,1,No
bookkeeper,4.1.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/metastore/MetastoreTableAsyncToSyncConverter.java,131,0,131,131,00,1,0,1,No
bookkeeper,Pre-Release,bookkeeper/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,410,0,410,410,00,1,0,1,No
bookkeeper,Pre-Release,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,74,0,74,74,00,1,0,1,No
bookkeeper,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,32,0,32,32,00,1,0,1,No
bookkeeper,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/ReplicationException.java,81,7,88,29,33,3,0,2,No
bookkeeper,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,83,8,91,30,33,3,0,3,No
bookkeeper,Pre-Release,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,242,105,347,86,75,4,0,2,No
bookkeeper,4.1.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ReadOnlyBookieTest.java,187,0,187,62,33,3,0,2,No
bookkeeper,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,35,18,53,13,25,4,0,2,No
bookkeeper,Pre-Release,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,11,10,21,10,50,2,0,1,No
bookkeeper,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,146,21,167,23,86,7,0,4,No
bookkeeper,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/CloseSubscriptionHandler.java,105,0,105,105,00,1,0,1,No
bookkeeper,Pre-Release,{bookkeeper => bookkeeper-server}/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,0,0,0,0,00,1,0,1,No
bookkeeper,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerChecker.java,285,12,297,74,25,4,0,1,No
bookkeeper,Pre-Release,bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,163,0,163,163,00,1,0,1,No
bookkeeper,4.1.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,70,2,72,14,40,5,0,3,No
bookkeeper,4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,648,291,939,117,38,8,0,4,No
bookkeeper,Pre-Release,bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,720,0,720,720,00,1,0,1,No
bookkeeper,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerBean.java,84,1,85,42,50,2,0,1,No
bookkeeper,4.1.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/TestReplicationWorker.java,674,116,790,65,83,12,0,3,No
bookkeeper,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollector.java,51,0,51,51,00,1,0,1,No
bookkeeper,Pre-Release,{bookkeeper => bookkeeper-server}/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,0,0,0,0,00,1,0,1,No
bookkeeper,Pre-Release,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,30,1,31,15,50,2,0,2,No
bookkeeper,Pre-Release,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,40,3,43,21,50,2,0,2,No
bookkeeper,4.1.0,hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestHubInfo.java,63,1,64,32,00,2,0,2,No
bookkeeper,Pre-Release,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,27,15,42,14,00,3,0,2,No
bookkeeper,Pre-Release,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,99,1,100,50,00,2,0,2,No
bookkeeper,Pre-Release,bookkeeper/src/main/java/org/apache/bookkeeper/client/DigestManager.java,184,0,184,184,00,1,0,1,No
bookkeeper,Pre-Release,bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,75,0,75,75,00,1,0,1,No
bookkeeper,Pre-Release,bookkeeper/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,0,67,67,00,1,0,1,No
bookkeeper,4.1.0,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,733,45,778,64,83,12,0,4,No
bookkeeper,4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/DefaultServerChannel.java,92,0,92,92,00,1,0,1,No
bookkeeper,4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,182,65,247,35,29,7,0,4,No
bookkeeper,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,81,7,88,29,33,3,0,3,No
bookkeeper,Pre-Release,bookkeeper/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,126,0,126,126,00,1,0,1,No
bookkeeper,Pre-Release,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,78,4,82,41,00,2,0,2,No
bookkeeper,Pre-Release,{bookkeeper => bookkeeper-server}/src/main/java/org/apache/bookkeeper/client/BKException.java,0,0,0,0,00,1,0,1,No
bookkeeper,4.1.0,hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java,294,31,325,40,63,8,0,4,No
bookkeeper,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/HubServerManager.java,108,0,108,108,00,1,0,1,No
bookkeeper,Pre-Release,{bookkeeper => bookkeeper-server}/src/test/java/org/apache/bookkeeper/test/BookieRecoveryTest.java,0,0,0,0,00,1,0,1,No
bookkeeper,4.1.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestSpeculativeRead.java,683,341,1024,204,80,5,0,2,No
