Version,File,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,WeightedAge,Buggy
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/JmsTopicSendReceiveSubscriberTest.java,33.0,33.0,1,0,1,33.0,33.0,33.0,0.22448979591836735,0.22448979591836735,0.22448979591836735,147,147.0,147.0,421.0,13893.0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,63.0,67.0,3,0,3,63.0,58.0,21.0,0.5418891431477244,0.28019323671497587,0.1806297143825748,406,207.0,135.33333333333334,236.0,15812.0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedReadChannel.java,103.0,103.0,1,0,1,103.0,103.0,103.0,12.875,12.875,12.875,8,8.0,8.0,777.0,80031.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/hedwig/jms/selector/activemq/SelectorParserTest.java,46.0,46.0,1,0,1,46.0,46.0,46.0,0.3129251700680272,0.3129251700680272,0.3129251700680272,147,147.0,147.0,421.0,19366.0,No
4.2.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,124.0,130.0,3,0,1,124.0,91.0,41.333333333333336,13.239316239316238,10.11111111111111,4.413105413105413,34,13.0,11.333333333333334,514.0,66820.0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/AbstractHChannelManager.java,624.0,624.0,2,0,1,624.0,621.0,312.0,20.36559139784946,20.032258064516128,10.18279569892473,40,31.0,20.0,366.0,228384.0,No
4.2.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/EnsemblePlacementPolicy.java,90.0,90.0,1,0,1,90.0,90.0,90.0,3.9130434782608696,3.9130434782608696,3.9130434782608696,23,23.0,23.0,553.0,49770.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/JmsMultipleClientsTestSupport.java,281.0,281.0,1,0,1,281.0,281.0,281.0,1.91156462585034,1.91156462585034,1.91156462585034,147,147.0,147.0,421.0,118301.0,No
Pre-Release,{bookkeeper => bookkeeper-server}/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,56,56.0,56.0,-250.0,-0.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/perf/SimpleDurableTopicTest.java,63.0,63.0,1,0,1,63.0,63.0,63.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,147,147.0,147.0,421.0,26523.0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HChannel.java,54.0,54.0,1,0,1,54.0,54.0,54.0,1.7419354838709677,1.7419354838709677,1.7419354838709677,31,31.0,31.0,294.0,15876.0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,1207.0,1296.0,28,1,4,1207.0,377.0,43.107142857142854,183.51471604276483,37.0,6.554097001527316,300,41.0,10.714285714285714,777.0,1006992.0,No
4.2.0,hedwig-client-jms/src/main/java/org/apache/hedwig/jms/spi/MessageConsumerImpl.java,74.0,74.0,1,0,1,74.0,74.0,74.0,0.5034013605442177,0.5034013605442177,0.5034013605442177,147,147.0,147.0,421.0,31154.0,No
4.2.0,hedwig-client-jms/src/main/java/org/apache/hedwig/jms/spi/HedwigConnectionFactoryImpl.java,64.0,64.0,1,0,1,64.0,64.0,64.0,0.43537414965986393,0.43537414965986393,0.43537414965986393,147,147.0,147.0,421.0,26944.0,No
