RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,AVG_LOC_ADDED,MAX_LOC_ADDED,LOC_REMOVED,AVG_LOC_REMOVED,MAX_LOC_REMOVED,CHURN,AVG_CHURN,MAX_CHURN,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,683,75.88888888888889,573,80,8.88888888888889,24,607,67.44444444444444,573,9,2,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,148.0,148,0,0.0,0,148,148.0,148,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,184,61.333333333333336,173,10,3.3333333333333335,8,174,58.0,173,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,158,52.666666666666664,147,10,3.3333333333333335,8,148,49.333333333333336,147,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,834,139.0,763,742,123.66666666666667,688,1442,240.33333333333334,763,6,1,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,438,73.0,209,204,34.0,101,234,39.0,209,6,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,59,19.666666666666668,54,5,1.6666666666666667,4,54,18.0,54,3,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,43,21.5,38,5,2.5,5,38,19.0,38,2,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,102,51.0,98,4,2.0,4,98,49.0,98,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,49,16.333333333333332,38,10,3.3333333333333335,7,39,13.0,38,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,98,32.666666666666664,94,29,9.666666666666666,25,119,39.666666666666664,94,3,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,94.0,94,0,0.0,0,94,94.0,94,1,0,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,72.0,72,0,0.0,0,72,72.0,72,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,42.0,42,0,0.0,0,42,42.0,42,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,56,18.666666666666668,48,8,2.6666666666666665,5,48,16.0,48,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,67,33.5,63,4,2.0,4,63,31.5,63,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,257,128.5,237,20,10.0,20,237,118.5,237,2,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,139,46.333333333333336,133,6,2.0,5,133,44.333333333333336,133,3,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,150,37.5,136,13,3.25,10,137,34.25,136,4,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,181,60.333333333333336,176,4,1.3333333333333333,2,177,59.0,176,3,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,47,23.5,46,1,0.5,1,46,23.0,46,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,137,27.4,127,9,1.8,5,128,25.6,127,5,1,3,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,152,50.666666666666664,148,3,1.0,2,149,49.666666666666664,148,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,59,29.5,58,1,0.5,1,58,29.0,58,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,152,76.0,149,3,1.5,3,149,74.5,149,2,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,78,39.0,74,4,2.0,4,74,37.0,74,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,37,37.0,37,0,0.0,0,37,37.0,37,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,40,20.0,38,2,1.0,2,38,19.0,38,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,40,20.0,39,1,0.5,1,39,19.5,39,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,107,26.75,95,11,2.75,5,96,24.0,95,4,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,91,30.333333333333332,87,3,1.0,2,88,29.333333333333332,87,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,78,19.5,70,7,1.75,3,71,17.75,70,4,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,123,30.75,113,9,2.25,4,114,28.5,113,4,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,336,414,69.0,329,78,13.0,35,336,56.0,329,6,0,3,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,93,23.25,83,9,2.25,5,84,21.0,83,4,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,63,21.0,58,5,1.6666666666666667,3,58,19.333333333333332,58,3,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,123,130,32.5,122,7,1.75,4,123,30.75,122,4,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369,369,369.0,369,0,0.0,0,369,369.0,369,1,0,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,243,48.6,224,12,2.4,6,231,46.2,224,5,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586,645,161.25,585,59,14.75,48,586,146.5,585,4,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,390,78.0,365,24,4.8,14,366,73.2,365,5,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99,108,27.0,98,9,2.25,4,99,24.75,98,4,0,2,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,41,41.0,41,0,0.0,0,41,41.0,41,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,79,39.5,65,13,6.5,13,66,33.0,65,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,54,55,18.333333333333332,45,1,0.3333333333333333,1,54,18.0,45,3,0,3,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47,51,25.5,47,4,2.0,4,47,23.5,47,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,203,50.75,185,20,5.0,16,187,46.75,185,4,0,3,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,49,49.0,49,0,0.0,0,49,49.0,49,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,50,50.0,50,0,0.0,0,50,50.0,50,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98,100,50.0,97,2,1.0,2,98,49.0,97,2,0,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138,138,138.0,138,0,0.0,0,138,138.0,138,1,0,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,43,43.0,43,0,0.0,0,43,43.0,43,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,42,42.0,42,0,0.0,0,42,42.0,42,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,56,56.0,56,0,0.0,0,56,56.0,56,1,0,1,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,163,81.5,162,1,0.5,1,162,81.0,162,2,0,2,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6367,12222,6111.0,6127,5855,2927.5,5855,6367,3183.5,6095,2,1,2,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,153,155,77.5,153,2,1.0,2,153,76.5,153,2,0,2,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43,43,43.0,43,0,0.0,0,43,43.0,43,1,0,1,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41,42,21.0,41,1,0.5,1,41,20.5,41,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105,155,51.666666666666664,104,50,16.666666666666668,48,105,35.0,104,3,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105,148,29.6,103,43,8.6,39,105,21.0,103,5,0,3,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92,126,31.5,91,34,8.5,31,92,23.0,91,4,0,3,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,101,151,50.333333333333336,100,50,16.666666666666668,48,101,33.666666666666664,100,3,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45,45,45.0,45,0,0.0,0,45,45.0,45,1,0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,289,290,145.0,289,1,0.5,1,289,144.5,289,2,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32,35,17.5,31,3,1.5,3,32,16.0,31,2,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111,111,111.0,111,0,0.0,0,111,111.0,111,1,0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,36,18.0,35,1,0.5,1,35,17.5,35,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,81,81,81.0,81,0,0.0,0,81,81.0,81,1,0,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27,27,27.0,27,0,0.0,0,27,27.0,27,1,0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,28,28.0,28,0,0.0,0,28,28.0,28,1,0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,29,30,15.0,29,1,0.5,1,29,14.5,29,2,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,566,600,150.0,561,34,8.5,32,566,141.5,561,4,0,3,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,64,80,40.0,64,16,8.0,16,64,32.0,64,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29,30,15.0,29,1,0.5,1,29,14.5,29,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,64,65,32.5,64,1,0.5,1,64,32.0,64,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37,40,20.0,37,3,1.5,3,37,18.5,37,2,0,2,NO
