DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
STORM,6,73.18063206726588,RandomForest,BestFirst,None,SensitiveLearning,0.5427631578947368,0.47277936962750716,0.6374562241324419,0.23749403444834927,165.0,139.0,437.0,184.0
STORM,6,73.18063206726588,NaiveBayes,BestFirst,None,SensitiveLearning,0.549407114624506,0.3982808022922636,0.5906633038841134,0.21184675586972998,139.0,114.0,462.0,210.0
STORM,6,73.18063206726588,IBk,BestFirst,None,SensitiveLearning,0.5397350993377483,0.4670487106017192,0.6161005651066539,0.23188265083205803,163.0,139.0,437.0,186.0
STORM,6,73.18063206726588,RandomForest,None,SMOTE,None,0.5583333333333333,0.3839541547277937,0.6767749124482649,0.21303719802281978,134.0,106.0,470.0,215.0
STORM,6,73.18063206726588,NaiveBayes,None,SMOTE,None,0.3778280542986425,0.9570200573065902,0.7083606932505572,0.0016580928493791502,334.0,550.0,26.0,15.0
STORM,6,73.18063206726588,IBk,None,SMOTE,None,0.5527426160337553,0.3753581661891118,0.6960338069086278,0.20424614469603639,131.0,106.0,470.0,218.0
STORM,6,73.18063206726588,RandomForest,BestFirst,SMOTE,None,0.5126903553299492,0.28939828080229224,0.6355360553963706,0.1342533138889495,101.0,96.0,480.0,248.0
STORM,6,73.18063206726588,NaiveBayes,BestFirst,SMOTE,None,0.5477178423236515,0.37822349570200575,0.6636894102196753,0.20125976076200183,132.0,109.0,467.0,217.0
STORM,6,73.18063206726588,IBk,BestFirst,SMOTE,None,0.5380434782608695,0.2836676217765043,0.6877462392550143,0.1500796778873979,99.0,85.0,491.0,250.0
STORM,6,73.18063206726588,RandomForest,None,SMOTE,SensitiveLearning,0.5783582089552238,0.44412607449856734,0.70167741165234,0.25982833803800737,155.0,113.0,463.0,194.0
STORM,6,73.18063206726588,NaiveBayes,None,SMOTE,SensitiveLearning,0.5783582089552238,0.44412607449856734,0.70167741165234,0.25982833803800737,155.0,113.0,463.0,194.0
STORM,6,73.18063206726588,IBk,None,SMOTE,SensitiveLearning,0.5783582089552238,0.44412607449856734,0.70167741165234,0.25982833803800737,155.0,113.0,463.0,194.0
STORM,6,73.18063206726588,RandomForest,BestFirst,SMOTE,SensitiveLearning,0.5424528301886793,0.32951289398280803,0.6843113260108246,0.17461699586735638,115.0,97.0,479.0,234.0
STORM,6,73.18063206726588,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,0.5424528301886793,0.32951289398280803,0.6843113260108246,0.17461699586735638,115.0,97.0,479.0,234.0
STORM,6,73.18063206726588,IBk,BestFirst,SMOTE,SensitiveLearning,0.5424528301886793,0.32951289398280803,0.6843113260108246,0.17461699586735638,115.0,97.0,479.0,234.0
STORM,7,72.56469598148537,RandomForest,None,None,None,0.8971631205673759,0.46379468377635197,0.6075874741267648,0.09595977021408737,506.0,58.0,155.0,585.0
STORM,7,72.56469598148537,NaiveBayes,None,None,None,0.9003831417624522,0.2153987167736022,0.8276509038957238,0.036345020469105364,235.0,26.0,187.0,856.0
STORM,7,72.56469598148537,IBk,None,None,None,0.9290382819794585,0.9120073327222732,0.7864602832393075,0.5349867102333276,995.0,76.0,137.0,96.0
STORM,7,72.56469598148537,RandomForest,BestFirst,None,None,0.8849557522123894,0.27497708524289644,0.45548727746866163,0.037956591071107965,300.0,39.0,174.0,791.0
STORM,7,72.56469598148537,NaiveBayes,BestFirst,None,None,0.9643175735950045,0.9908340971585701,0.90826351325183,0.8512861919685419,1081.0,40.0,173.0,10.0
STORM,7,72.56469598148537,IBk,BestFirst,None,None,0.7911227154046997,0.2777268560953254,0.45783899854980786,-0.04186526017360246,303.0,80.0,133.0,788.0
STORM,7,72.56469598148537,RandomForest,None,None,SensitiveLearning,0.8500727802037845,0.535288725939505,0.54583381744792,0.029333307300501134,584.0,103.0,110.0,507.0
STORM,7,72.56469598148537,NaiveBayes,None,None,SensitiveLearning,0.8972222222222223,0.29605866177818513,0.8276573587568798,0.05138697107494776,323.0,37.0,176.0,768.0
STORM,7,72.56469598148537,IBk,None,None,SensitiveLearning,0.9273066169617894,0.9120073327222732,0.7864602832393075,0.5278606654597665,995.0,78.0,135.0,96.0
STORM,7,72.56469598148537,RandomForest,BestFirst,None,SensitiveLearning,0.8651863600317209,1.0,0.4549687369558014,0.29738261712930947,1091.0,170.0,43.0,0.0
STORM,7,72.56469598148537,NaiveBayes,BestFirst,None,SensitiveLearning,0.9322469982847341,0.9963336388634281,0.90826351325183,0.728684735633567,1087.0,79.0,134.0,4.0
STORM,7,72.56469598148537,IBk,BestFirst,None,SensitiveLearning,0.8658730158730159,1.0,0.4625983828421184,0.30345403054516046,1091.0,169.0,44.0,0.0
STORM,7,72.56469598148537,RandomForest,None,SMOTE,None,0.8963414634146342,0.538955087076077,0.7444520468364726,0.12060054612281149,588.0,68.0,145.0,503.0
STORM,7,72.56469598148537,NaiveBayes,None,SMOTE,None,0.9623655913978495,0.9844179651695693,0.9118588709156866,0.82625740713976,1074.0,42.0,171.0,17.0
STORM,7,72.56469598148537,IBk,None,SMOTE,None,0.9173478655767484,0.925756186984418,0.7499150109947802,0.5081252494594133,1010.0,91.0,122.0,81.0
STORM,7,72.56469598148537,RandomForest,BestFirst,SMOTE,None,0.8855218855218855,0.4821264894592117,0.6293661756668948,0.08400545092172947,526.0,68.0,145.0,565.0
STORM,7,72.56469598148537,NaiveBayes,BestFirst,SMOTE,None,0.9600355239786856,0.9908340971585701,0.9317979370263746,0.8347602503018181,1081.0,45.0,168.0,10.0
STORM,7,72.56469598148537,IBk,BestFirst,SMOTE,None,0.8717948717948718,0.43629697525206235,0.5826136163144464,0.053044920044610394,476.0,70.0,143.0,615.0
STORM,7,72.56469598148537,RandomForest,None,SMOTE,SensitiveLearning,0.9012658227848102,0.9789184234647113,0.6589767754095609,0.5223868101738722,1068.0,117.0,96.0,23.0
STORM,7,72.56469598148537,NaiveBayes,None,SMOTE,SensitiveLearning,0.9012658227848102,0.9789184234647113,0.6589767754095609,0.5223868101738722,1068.0,117.0,96.0,23.0
STORM,7,72.56469598148537,IBk,None,SMOTE,SensitiveLearning,0.9012658227848102,0.9789184234647113,0.6589767754095609,0.5223868101738722,1068.0,117.0,96.0,23.0
STORM,7,72.56469598148537,RandomForest,BestFirst,SMOTE,SensitiveLearning,0.8203125,0.48120989917506873,0.4639001131752323,-0.0316935116596804,525.0,115.0,98.0,566.0
STORM,7,72.56469598148537,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,0.8203125,0.48120989917506873,0.4639001131752323,-0.0316935116596804,525.0,115.0,98.0,566.0
STORM,7,72.56469598148537,IBk,BestFirst,SMOTE,SensitiveLearning,0.8203125,0.48120989917506873,0.4639001131752323,-0.0316935116596804,525.0,115.0,98.0,566.0
STORM,8,76.87206857512534,RandomForest,None,None,None,0.07368421052631578,0.358974358974359,0.668012313591034,0.08066528066528078,14.0,176.0,1215.0,25.0
STORM,8,76.87206857512534,NaiveBayes,None,None,None,0.16666666666666666,0.05128205128205128,0.733054987188704,0.06644998194294137,2.0,10.0,1381.0,37.0
STORM,8,76.87206857512534,IBk,None,None,None,0.06224066390041494,0.38461538461538464,0.5822042802632307,0.06316004633099406,15.0,226.0,1165.0,24.0
STORM,8,76.87206857512534,RandomForest,BestFirst,None,None,0.11009174311926606,0.3076923076923077,0.6916533023650205,0.12709586586458432,12.0,97.0,1294.0,27.0
STORM,8,76.87206857512534,NaiveBayes,BestFirst,None,None,0.23333333333333334,0.1794871794871795,0.6208225036406201,0.1835357624831318,7.0,23.0,1368.0,32.0
STORM,8,76.87206857512534,IBk,BestFirst,None,None,0.1095890410958904,0.41025641025641024,0.6376615237147228,0.13577077128479006,16.0,130.0,1261.0,23.0
STORM,8,76.87206857512534,RandomForest,None,None,SensitiveLearning,0.036410923276983094,0.717948717948718,0.6492285572084278,0.018346664135001085,28.0,741.0,650.0,11.0
STORM,8,76.87206857512534,NaiveBayes,None,None,SensitiveLearning,0.15384615384615385,0.05128205128205128,0.733054987188704,0.06416164480680873,2.0,11.0,1380.0,37.0
STORM,8,76.87206857512534,IBk,None,None,SensitiveLearning,0.025974025974025976,0.46153846153846156,0.5817526590351896,-0.002592912705272255,18.0,675.0,716.0,21.0
STORM,8,76.87206857512534,RandomForest,BestFirst,None,SensitiveLearning,0.0341130604288499,0.8974358974358975,0.7009161459197405,0.013910661837576836,35.0,991.0,400.0,4.0
STORM,8,76.87206857512534,NaiveBayes,BestFirst,None,SensitiveLearning,0.12222222222222222,0.28205128205128205,0.6208225036406201,0.13772893772893832,11.0,79.0,1312.0,28.0
STORM,8,76.87206857512534,IBk,BestFirst,None,SensitiveLearning,0.030425963488843813,0.7692307692307693,0.6384818153330015,0.006402456146919518,30.0,956.0,435.0,9.0
STORM,8,76.87206857512534,RandomForest,None,SMOTE,None,0.06542056074766354,0.358974358974359,0.6675791258825048,0.06765614405183469,14.0,200.0,1191.0,25.0
STORM,8,76.87206857512534,NaiveBayes,None,SMOTE,None,0.4444444444444444,0.20512820512820512,0.781129606075688,0.2680947744238864,8.0,10.0,1381.0,31.0
STORM,8,76.87206857512534,IBk,None,SMOTE,None,0.06048387096774194,0.38461538461538464,0.5781949897693967,0.06023535669170949,15.0,233.0,1158.0,24.0
STORM,8,76.87206857512534,RandomForest,BestFirst,SMOTE,None,0.1349206349206349,0.4358974358974359,0.7133679883500157,0.17155340922157075,17.0,109.0,1282.0,22.0
STORM,8,76.87206857512534,NaiveBayes,BestFirst,SMOTE,None,0.3181818181818182,0.1794871794871795,0.6913214990138067,0.21404682274247666,7.0,15.0,1376.0,32.0
STORM,8,76.87206857512534,IBk,BestFirst,SMOTE,None,0.11612903225806452,0.46153846153846156,0.6745562130177515,0.14845663890249847,18.0,137.0,1254.0,21.0
STORM,8,76.87206857512534,RandomForest,None,SMOTE,SensitiveLearning,0.035024154589371984,0.7435897435897436,0.6963077660417704,0.01561912347071968,29.0,799.0,592.0,10.0
STORM,8,76.87206857512534,NaiveBayes,None,SMOTE,SensitiveLearning,0.035024154589371984,0.7435897435897436,0.6963077660417704,0.01561912347071968,29.0,799.0,592.0,10.0
